! Datafile from PARAM Created at : woensdag 28, apr, 2004
!---------------------------------------------------------------
!Trial       Movie   Response             Time    
!---------------------------------------------------------------
   1       bd03n.wav     Z                0.922
   2       bd04n.wav     Z                0.875
   3       bd04n.wav     Z                0.953
   4       bd03n.wav     Z                0.875
   5       bd05n.wav     M                1.453
   6       bd05n.wav     M                0.921
   7       bd03n.wav     Z                0.891
   8       bd04n.wav     Z                1.016
   9       bd05n.wav     M                1.016
  10       bd04n.wav     M                1.125
  11       bd03n.wav     Z                1.000
  12       bd05n.wav     M                1.218
  13       bd05n.wav     M                1.093
  14       bd03n.wav     Z                0.860
  15       bd04n.wav     Z                1.047
  16       bd05n.wav     M                0.954
  17       bd04n.wav     Z                1.375
  18       bd03n.wav     Z                0.844
  19       bd05n.wav     M                1.078
  20       bd05n.wav     Z                1.343
  21       bd03n.wav     Z                1.094
  22       bd04n.wav     Z                1.703
  23       bd04n.wav     Z                1.063
  24       bd03n.wav     Z                1.078
  25       bd03n.wav     Z                0.938
  26       bd04n.wav     Z                2.172
  27       bd04n.wav     M                0.937
  28       bd03n.wav     Z                1.047
  29       bd05n.wav     M                0.953
  30       bd05n.wav     M                1.234
  31       bd03n.wav     Z                0.875
  32       bd04n.wav     M                0.968
  33       bd05n.wav     M                0.891
  34       bd04n.wav     Z                0.875
  35       bd03n.wav     Z                0.907
  36       bd05n.wav     M                0.782
  37       bd05n.wav     M                1.063
  38       bd03n.wav     Z                0.797
  39       bd04n.wav     Z                0.828
  40       bd05n.wav     M                0.891
  41       bd03n.wav     Z                0.641
  42       bd05n.wav     M                0.812
  43       bd05n.wav     M                0.890
  44       bd04n.wav     M                1.156
  45       bd03n.wav     Z                0.906
  46       bd04n.wav     Z                0.937
  47       bd04n.wav     M                0.860
  48       bd03n.wav     Z                0.828
  49       bd05n.wav     M                0.985
  50       bd03n.wav     Z                0.797
  51       bd04n.wav     M                1.109
  52       bd04n.wav     Z                0.844
  53       bd03n.wav     Z                0.969
  54       bd05n.wav     M                1.109
  55       bd05n.wav     M                1.156
  56       bd03n.wav     Z                0.859
  57       bd05n.wav     M                1.641
  58       bd04n.wav     Z                0.890
  59       bd04n.wav     Z                1.032
  60       bd03n.wav     Z                0.907
