! Datafile from PARAM Created at : vrijdag 12, nov, 2004
!---------------------------------------------------------------
!Trial       Movie   Response             Time    
!---------------------------------------------------------------
   1       bd03n.wav     Z                1,062
   2       bd04n.wav     Z                1,406
   3       bd04n.wav     M                1,781
   4       bd03n.wav     M                1,156
   5       bd05n.wav     M                1,016
   6       bd05n.wav     M                0,969
   7       bd03n.wav     M                1,078
   8       bd04n.wav     M                0,953
   9       bd05n.wav     M                0,953
  10       bd04n.wav     M                0,875
  11       bd03n.wav     M                1,156
  12       bd05n.wav     M                1,031
  13       bd05n.wav     M                0,938
  14       bd03n.wav     M                1,266
  15       bd04n.wav     M                1,078
  16       bd05n.wav     M                1,188
  17       bd04n.wav     M                0,922
  18       bd03n.wav     M                1,016
  19       bd05n.wav     M                0,969
  20       bd05n.wav     M                0,906
  21       bd03n.wav     M                1,031
  22       bd04n.wav     M                0,844
  23       bd04n.wav     M                0,890
  24       bd03n.wav     M                1,062
  25       bd03n.wav     M                0,985
  26       bd04n.wav     M                0,953
  27       bd04n.wav     M                0,969
  28       bd03n.wav     M                1,000
  29       bd05n.wav     M                0,906
  30       bd05n.wav     M                1,032
  31       bd03n.wav     M                0,891
  32       bd04n.wav     M                1,188
  33       bd05n.wav     M                1,140
  34       bd04n.wav     M                0,969
  35       bd03n.wav     M                0,953
  36       bd05n.wav     M                0,703
  37       bd05n.wav     M                0,969
  38       bd03n.wav     #                0,000
  39       bd04n.wav     Z                1,094
  40       bd05n.wav     Z                1,172
  41       bd03n.wav     Z                1,016
  42       bd05n.wav     M                1,000
  43       bd05n.wav     M                1,141
  44       bd04n.wav     M                0,953
  45       bd03n.wav     Z                1,125
  46       bd04n.wav     M                1,328
  47       bd04n.wav     M                1,125
  48       bd03n.wav     Z                1,000
  49       bd05n.wav     M                1,079
  50       bd03n.wav     Z                1,000
  51       bd04n.wav     M                1,125
  52       bd04n.wav     Z                1,203
  53       bd03n.wav     Z                1,078
  54       bd05n.wav     M                1,141
  55       bd05n.wav     M                0,921
  56       bd03n.wav     Z                1,079
  57       bd05n.wav     M                1,032
  58       bd04n.wav     Z                1,031
  59       bd04n.wav     Z                1,016
  60       bd03n.wav     Z                1,047
