! Datafile from PARAM Created at : dinsdag 4, mei, 2004
!---------------------------------------------------------------
!Trial       Movie   Response             Time    
!---------------------------------------------------------------
   1       bd05n.wav     Z                1.140
   2       bd06n.wav     M                0.844
   3       bd06n.wav     M                0.813
   4       bd05n.wav     Z                1.719
   5       bd04n.wav     Z                1.265
   6       bd04n.wav     Z                0.891
   7       bd05n.wav     Z                1.047
   8       bd06n.wav     M                0.906
   9       bd04n.wav     Z                0.938
  10       bd06n.wav     M                1.360
  11       bd05n.wav     Z                1.063
  12       bd04n.wav     Z                1.031
  13       bd04n.wav     Z                0.875
  14       bd05n.wav     Z                1.125
  15       bd06n.wav     M                0.828
  16       bd04n.wav     Z                0.922
  17       bd06n.wav     M                0.796
  18       bd05n.wav     Z                1.516
  19       bd04n.wav     Z                0.907
  20       bd04n.wav     Z                0.906
  21       bd05n.wav     Z                0.985
  22       bd06n.wav     M                0.844
  23       bd06n.wav     M                0.828
  24       bd05n.wav     Z                0.906
  25       bd05n.wav     Z                1.203
  26       bd06n.wav     M                0.781
  27       bd06n.wav     M                0.891
  28       bd05n.wav     Z                1.875
  29       bd04n.wav     Z                1.031
  30       bd04n.wav     Z                0.906
  31       bd05n.wav     Z                1.047
  32       bd06n.wav     M                0.984
  33       bd04n.wav     Z                0.953
  34       bd06n.wav     M                0.797
  35       bd05n.wav     Z                1.141
  36       bd04n.wav     Z                0.969
  37       bd04n.wav     Z                0.922
  38       bd05n.wav     Z                1.125
  39       bd06n.wav     M                0.813
  40       bd04n.wav     Z                0.891
  41       bd05n.wav     Z                0.953
  42       bd04n.wav     Z                0.843
  43       bd04n.wav     Z                0.859
  44       bd06n.wav     M                0.765
  45       bd05n.wav     M                1.203
  46       bd06n.wav     M                0.719
  47       bd06n.wav     M                0.750
  48       bd05n.wav     M                1.047
  49       bd04n.wav     Z                1.172
  50       bd05n.wav     M                1.797
  51       bd06n.wav     M                0.782
  52       bd06n.wav     M                0.969
  53       bd05n.wav     Z                1.063
  54       bd04n.wav     Z                0.953
  55       bd04n.wav     Z                0.891
  56       bd05n.wav     Z                1.093
  57       bd04n.wav     Z                0.890
  58       bd06n.wav     M                0.954
  59       bd06n.wav     M                0.844
  60       bd05n.wav     Z                1.235
