! Datafile from PARAM Created at : maandag 10, mei, 2004
!---------------------------------------------------------------
!Trial       Movie   Response             Time    
!---------------------------------------------------------------
   1       bd05n.wav     Z                0.953
   2       bd06n.wav     M                0.859
   3       bd06n.wav     Z                1.125
   4       bd05n.wav     Z                0.797
   5       bd07n.wav     M                1.219
   6       bd07n.wav     M                0.828
   7       bd05n.wav     Z                0.859
   8       bd06n.wav     Z                1.000
   9       bd07n.wav     M                0.875
  10       bd06n.wav     Z                1.266
  11       bd05n.wav     Z                1.187
  12       bd07n.wav     M                1.391
  13       bd07n.wav     M                0.890
  14       bd05n.wav     Z                2.015
  15       bd06n.wav     M                0.875
  16       bd07n.wav     M                0.829
  17       bd06n.wav     Z                1.485
  18       bd05n.wav     Z                1.188
  19       bd07n.wav     M                0.891
  20       bd07n.wav     M                1.046
  21       bd05n.wav     Z                1.360
  22       bd06n.wav     Z                1.453
  23       bd06n.wav     Z                1.406
  24       bd05n.wav     Z                1.422
  25       bd05n.wav     Z                1.219
  26       bd06n.wav     Z                1.156
  27       bd06n.wav     Z                1.015
  28       bd05n.wav     Z                1.141
  29       bd07n.wav     M                1.438
  30       bd07n.wav     M                1.156
  31       bd05n.wav     Z                1.547
  32       bd06n.wav     Z                1.344
  33       bd07n.wav     M                1.468
  34       bd06n.wav     Z                1.234
  35       bd05n.wav     Z                1.219
  36       bd07n.wav     M                1.359
  37       bd07n.wav     M                1.360
  38       bd05n.wav     Z                1.422
  39       bd06n.wav     Z                1.531
  40       bd07n.wav     M                1.219
  41       bd05n.wav     Z                1.500
  42       bd07n.wav     M                1.125
  43       bd07n.wav     M                1.485
  44       bd06n.wav     M                1.078
  45       bd05n.wav     Z                1.515
  46       bd06n.wav     M                1.078
  47       bd06n.wav     M                1.282
  48       bd05n.wav     Z                1.297
  49       bd07n.wav     M                1.079
  50       bd05n.wav     Z                1.547
  51       bd06n.wav     M                1.250
  52       bd06n.wav     Z                1.672
  53       bd05n.wav     M                1.078
  54       bd07n.wav     M                0.985
  55       bd07n.wav     M                1.078
  56       bd05n.wav     M                1.235
  57       bd07n.wav     M                1.218
  58       bd06n.wav     Z                1.484
  59       bd06n.wav     M                1.625
  60       bd05n.wav     Z                1.187
