! Datafile from PARAM Created at : woensdag 28, apr, 2004
!---------------------------------------------------------------
!Trial       Movie   Response             Time    
!---------------------------------------------------------------
   1       bd03n.wav     Z                1.343
   2       bd04n.wav     M                1.109
   3       bd04n.wav     M                0.953
   4       bd03n.wav     Z                1.265
   5       bd05n.wav     M                0.922
   6       bd05n.wav     M                0.828
   7       bd03n.wav     Z                0.703
   8       bd04n.wav     Z                1.234
   9       bd05n.wav     M                1.312
  10       bd04n.wav     M                1.094
  11       bd03n.wav     Z                0.891
  12       bd05n.wav     M                1.265
  13       bd05n.wav     M                1.109
  14       bd03n.wav     Z                0.781
  15       bd04n.wav     Z                0.859
  16       bd05n.wav     M                0.984
  17       bd04n.wav     Z                0.891
  18       bd03n.wav     Z                0.813
  19       bd05n.wav     M                1.031
  20       bd05n.wav     M                1.156
  21       bd03n.wav     Z                1.515
  22       bd04n.wav     M                1.391
  23       bd04n.wav     Z                1.078
  24       bd03n.wav     Z                0.922
  25       bd03n.wav     Z                1.047
  26       bd04n.wav     M                1.984
  27       bd04n.wav     Z                0.844
  28       bd03n.wav     Z                0.921
  29       bd05n.wav     M                2.360
  30       bd05n.wav     M                0.953
  31       bd03n.wav     Z                0.860
  32       bd04n.wav     Z                0.875
  33       bd05n.wav     M                1.063
  34       bd04n.wav     M                1.187
  35       bd03n.wav     Z                1.437
  36       bd05n.wav     M                1.094
  37       bd05n.wav     M                1.484
  38       bd03n.wav     Z                1.235
  39       bd04n.wav     Z                1.422
  40       bd05n.wav     Z                1.297
  41       bd03n.wav     Z                0.781
  42       bd05n.wav     M                0.828
  43       bd05n.wav     M                1.110
  44       bd04n.wav     M                0.844
  45       bd03n.wav     Z                1.141
  46       bd04n.wav     M                0.750
  47       bd04n.wav     M                0.875
  48       bd03n.wav     Z                1.094
  49       bd05n.wav     M                0.859
  50       bd03n.wav     Z                0.907
  51       bd04n.wav     M                1.187
  52       bd04n.wav     M                1.015
  53       bd03n.wav     Z                0.875
  54       bd05n.wav     M                1.046
  55       bd05n.wav     M                0.907
  56       bd03n.wav     Z                1.016
  57       bd05n.wav     M                1.094
  58       bd04n.wav     M                1.187
  59       bd04n.wav     Z                1.000
  60       bd03n.wav     Z                0.954
