! Datafile from PARAM Created at : donderdag 29, apr, 2004
!---------------------------------------------------------------
!Trial       Movie   Response             Time    
!---------------------------------------------------------------
   1       bd05n.wav     Z                1.000
   2       bd06n.wav     Z                1.204
   3       bd06n.wav     Z                1.187
   4       bd05n.wav     Z                1.140
   5       bd04n.wav     Z                0.968
   6       bd04n.wav     Z                0.968
   7       bd05n.wav     Z                1.047
   8       bd06n.wav     M                1.078
   9       bd04n.wav     Z                1.094
  10       bd06n.wav     M                0.922
  11       bd05n.wav     Z                1.063
  12       bd04n.wav     Z                0.984
  13       bd04n.wav     Z                1.000
  14       bd05n.wav     Z                0.891
  15       bd06n.wav     M                1.156
  16       bd04n.wav     Z                0.937
  17       bd06n.wav     M                0.859
  18       bd05n.wav     Z                1.000
  19       bd04n.wav     Z                0.907
  20       bd04n.wav     Z                0.922
  21       bd05n.wav     Z                1.047
  22       bd06n.wav     M                0.906
  23       bd06n.wav     M                0.891
  24       bd05n.wav     Z                0.984
  25       bd05n.wav     Z                1.031
  26       bd06n.wav     M                1.079
  27       bd06n.wav     M                0.828
  28       bd05n.wav     Z                1.109
  29       bd04n.wav     Z                1.219
  30       bd04n.wav     Z                1.015
  31       bd05n.wav     Z                1.062
  32       bd06n.wav     M                0.890
  33       bd04n.wav     Z                1.031
  34       bd06n.wav     M                1.016
  35       bd05n.wav     Z                1.125
  36       bd04n.wav     Z                0.907
  37       bd04n.wav     Z                0.953
  38       bd05n.wav     Z                0.875
  39       bd06n.wav     M                0.922
  40       bd04n.wav     Z                1.000
  41       bd05n.wav     M                2.094
  42       bd04n.wav     Z                1.015
  43       bd04n.wav     Z                0.906
  44       bd06n.wav     M                1.468
  45       bd05n.wav     Z                0.891
  46       bd06n.wav     M                0.906
  47       bd06n.wav     M                0.844
  48       bd05n.wav     Z                1.047
  49       bd04n.wav     Z                1.031
  50       bd05n.wav     Z                1.125
  51       bd06n.wav     M                1.000
  52       bd06n.wav     M                0.766
  53       bd05n.wav     Z                1.219
  54       bd04n.wav     Z                0.969
  55       bd04n.wav     Z                0.953
  56       bd05n.wav     Z                0.984
  57       bd04n.wav     Z                0.875
  58       bd06n.wav     M                1.109
  59       bd06n.wav     M                1.000
  60       bd05n.wav     Z                1.125
