! Datafile from PARAM Created at : dinsdag 27, apr, 2004
!---------------------------------------------------------------
!Trial       Movie   Response             Time    
!---------------------------------------------------------------
   1       bd03n.wav     Z                1.422
   2       bd04n.wav     M                1.469
   3       bd04n.wav     Z                1.125
   4       bd03n.wav     Z                0.938
   5       bd05n.wav     M                0.875
   6       bd05n.wav     M                1.093
   7       bd03n.wav     Z                1.156
   8       bd04n.wav     M                1.031
   9       bd05n.wav     M                1.031
  10       bd04n.wav     Z                1.703
  11       bd03n.wav     Z                1.235
  12       bd05n.wav     M                1.281
  13       bd05n.wav     M                1.281
  14       bd03n.wav     Z                1.265
  15       bd04n.wav     Z                1.063
  16       bd05n.wav     Z                1.312
  17       bd04n.wav     M                1.156
  18       bd03n.wav     Z                1.109
  19       bd05n.wav     Z                2.078
  20       bd05n.wav     M                1.734
  21       bd03n.wav     Z                1.250
  22       bd04n.wav     M                1.109
  23       bd04n.wav     Z                2.047
  24       bd03n.wav     Z                1.015
  25       bd03n.wav     Z                0.890
  26       bd04n.wav     M                1.641
  27       bd04n.wav     M                2.344
  28       bd03n.wav     Z                0.844
  29       bd05n.wav     M                1.797
  30       bd05n.wav     M                0.922
  31       bd03n.wav     Z                0.859
  32       bd04n.wav     M                2.156
  33       bd05n.wav     M                0.937
  34       bd04n.wav     Z                1.015
  35       bd03n.wav     Z                1.438
  36       bd05n.wav     Z                0.953
  37       bd05n.wav     M                1.172
  38       bd03n.wav     Z                0.890
  39       bd04n.wav     M                1.454
  40       bd05n.wav     Z                1.032
  41       bd03n.wav     Z                1.015
  42       bd05n.wav     Z                2.109
  43       bd05n.wav     M                0.984
  44       bd04n.wav     Z                1.828
  45       bd03n.wav     Z                1.172
  46       bd04n.wav     Z                1.187
  47       bd04n.wav     M                1.735
  48       bd03n.wav     Z                1.000
  49       bd05n.wav     M                1.062
  50       bd03n.wav     M                1.015
  51       bd04n.wav     Z                1.063
  52       bd04n.wav     Z                0.985
  53       bd03n.wav     Z                1.250
  54       bd05n.wav     M                0.906
  55       bd05n.wav     M                1.578
  56       bd03n.wav     Z                1.125
  57       bd05n.wav     M                1.250
  58       bd04n.wav     M                1.547
  59       bd04n.wav     M                1.360
  60       bd03n.wav     M                1.562
