! Datafile from PARAM Created at : vrijdag 3, dec, 2004
!---------------------------------------------------------------
!Trial       Movie   Response             Time    
!---------------------------------------------------------------
   1       bd05n.wav     M                1,328
   2       bd06n.wav     Z                1,250
   3       bd06n.wav     Z                1,250
   4       bd05n.wav     Z                1,313
   5       bd04n.wav     M                1,407
   6       bd04n.wav     M                1,438
   7       bd05n.wav     M                1,063
   8       bd06n.wav     M                0,922
   9       bd04n.wav     M                1,266
  10       bd06n.wav     M                1,407
  11       bd05n.wav     Z                1,094
  12       bd04n.wav     Z                0,984
  13       bd04n.wav     Z                0,843
  14       bd05n.wav     Z                1,110
  15       bd06n.wav     M                1,016
  16       bd04n.wav     Z                1,110
  17       bd06n.wav     M                0,703
  18       bd05n.wav     M                1,110
  19       bd04n.wav     Z                0,750
  20       bd04n.wav     M                0,641
  21       bd05n.wav     Z                1,313
  22       bd06n.wav     M                0,703
  23       bd06n.wav     M                0,813
  24       bd05n.wav     M                1,250
  25       bd05n.wav     M                1,359
  26       bd06n.wav     M                1,016
  27       bd06n.wav     M                0,922
  28       bd05n.wav     M                0,860
  29       bd04n.wav     Z                0,969
  30       bd04n.wav     Z                0,781
  31       bd05n.wav     Z                1,250
  32       bd06n.wav     M                0,937
  33       bd04n.wav     M                1,313
  34       bd06n.wav     M                1,297
  35       bd05n.wav     M                1,297
  36       bd04n.wav     Z                1,453
  37       bd04n.wav     Z                0,968
  38       bd05n.wav     Z                1,063
  39       bd06n.wav     M                0,937
  40       bd04n.wav     Z                1,204
  41       bd05n.wav     M                1,203
  42       bd04n.wav     Z                1,047
  43       bd04n.wav     Z                0,969
  44       bd06n.wav     M                1,156
  45       bd05n.wav     M                0,969
  46       bd06n.wav     M                0,906
  47       bd06n.wav     M                1,204
  48       bd05n.wav     Z                1,000
  49       bd04n.wav     Z                1,234
  50       bd05n.wav     M                0,703
  51       bd06n.wav     M                0,984
  52       bd06n.wav     M                1,078
  53       bd05n.wav     Z                1,203
  54       bd04n.wav     Z                1,375
  55       bd04n.wav     Z                1,235
  56       bd05n.wav     M                0,828
  57       bd04n.wav     Z                1,391
  58       bd06n.wav     M                1,015
  59       bd06n.wav     M                0,985
  60       bd05n.wav     Z                1,047
