! Datafile from PARAM Created at : donderdag 6, mei, 2004
!---------------------------------------------------------------
!Trial       Movie   Response             Time    
!---------------------------------------------------------------
   1       bd01n.wav     Z                1.188
   2       bd09n.wav     M                1.375
   3       bd01n.wav     Z                0.953
   4       bd09n.wav     M                1.000
   5       bd01n.wav     Z                1.078
   6       bd09n.wav     Z                1.937
   7       bd06n.wav     Z                1.500
   8       bd03n.wav     Z                0.906
   9       bd02n.wav     Z                0.984
  10       bd03n.wav     Z                0.906
  11       bd07n.wav     M                1.406
  12       bd08n.wav     M                0.922
  13       bd06n.wav     M                1.047
  14       bd01n.wav     Z                0.844
  15       bd06n.wav     M                1.328
  16       bd07n.wav     M                0.875
  17       bd05n.wav     Z                1.203
  18       bd04n.wav     Z                1.390
  19       bd07n.wav     M                0.937
  20       bd07n.wav     Z                1.750
  21       bd05n.wav     Z                1.344
  22       bd08n.wav     M                0.859
  23       bd03n.wav     Z                0.922
  24       bd08n.wav     M                0.969
  25       bd08n.wav     M                1.063
  26       bd02n.wav     Z                0.844
  27       bd06n.wav     Z                1.593
  28       bd03n.wav     Z                1.063
  29       bd05n.wav     Z                1.547
  30       bd05n.wav     Z                0.984
  31       bd04n.wav     Z                1.047
  32       bd07n.wav     M                0.781
  33       bd02n.wav     Z                0.828
  34       bd04n.wav     Z                0.875
  35       bd05n.wav     Z                0.984
  36       bd05n.wav     Z                1.172
  37       bd03n.wav     Z                0.969
  38       bd09n.wav     M                0.766
  39       bd09n.wav     M                0.812
  40       bd04n.wav     Z                0.922
  41       bd07n.wav     M                1.328
  42       bd05n.wav     Z                0.985
  43       bd09n.wav     M                0.828
  44       bd04n.wav     Z                0.765
  45       bd03n.wav     Z                0.812
  46       bd06n.wav     Z                1.719
  47       bd06n.wav     M                0.891
  48       bd04n.wav     Z                0.812
  49       bd01n.wav     Z                0.969
  50       bd02n.wav     Z                1.125
  51       bd01n.wav     Z                0.829
  52       bd06n.wav     M                0.813
  53       bd04n.wav     Z                0.844
  54       bd07n.wav     M                0.844
  55       bd03n.wav     Z                0.844
  56       bd06n.wav     M                1.062
  57       bd01n.wav     Z                0.922
  58       bd03n.wav     Z                0.875
  59       bd06n.wav     M                0.813
  60       bd02n.wav     Z                0.891
  61       bd03n.wav     Z                0.954
  62       bd05n.wav     M                2.062
  63       bd03n.wav     Z                0.860
  64       bd04n.wav     Z                0.828
  65       bd09n.wav     M                0.735
  66       bd04n.wav     Z                0.750
  67       bd05n.wav     Z                0.937
  68       bd02n.wav     Z                0.890
  69       bd07n.wav     M                0.953
  70       bd05n.wav     Z                0.953
  71       bd02n.wav     Z                1.078
  72       bd07n.wav     M                1.578
  73       bd07n.wav     M                0.954
  74       bd01n.wav     Z                0.812
  75       bd07n.wav     M                1.094
  76       bd04n.wav     Z                0.938
  77       bd03n.wav     Z                0.860
  78       bd07n.wav     M                0.938
  79       bd04n.wav     Z                1.141
  80       bd03n.wav     Z                0.875
  81       bd09n.wav     M                1.015
  82       bd05n.wav     Z                1.344
  83       bd04n.wav     Z                0.844
  84       bd08n.wav     M                0.922
  85       bd03n.wav     Z                1.532
  86       bd05n.wav     Z                0.859
  87       bd09n.wav     M                1.391
  88       bd07n.wav     M                0.922
  89       bd05n.wav     M                1.781
  90       bd08n.wav     M                0.844
  91       bd03n.wav     Z                0.703
  92       bd06n.wav     M                1.750
  93       bd08n.wav     M                0.812
  94       bd01n.wav     Z                0.781
  95       bd06n.wav     Z                1.391
  96       bd06n.wav     M                0.703
  97       bd04n.wav     Z                0.735
  98       bd04n.wav     Z                1.297
  99       bd06n.wav     M                1.329
 100       bd05n.wav     Z                0.875
 101       bd06n.wav     M                1.203
 102       bd02n.wav     Z                0.766
 103       bd08n.wav     M                0.922
 104       bd07n.wav     M                0.781
