! Datafile from PARAM Created at : dinsdag 11, mei, 2004
!---------------------------------------------------------------
!Trial       Movie   Response             Time    
!---------------------------------------------------------------
   1       bd01n.wav     Z                1.375
   2       bd09n.wav     M                0.890
   3       bd01n.wav     Z                0.969
   4       bd09n.wav     M                0.875
   5       bd01n.wav     Z                0.859
   6       bd09n.wav     M                0.906
   7       bd06n.wav     M                0.954
   8       bd03n.wav     Z                0.828
   9       bd02n.wav     Z                0.875
  10       bd03n.wav     Z                0.860
  11       bd07n.wav     M                0.781
  12       bd08n.wav     M                0.797
  13       bd06n.wav     M                0.828
  14       bd01n.wav     Z                0.860
  15       bd06n.wav     M                0.891
  16       bd07n.wav     M                0.844
  17       bd05n.wav     M                1.015
  18       bd04n.wav     Z                0.812
  19       bd07n.wav     M                0.813
  20       bd07n.wav     M                0.906
  21       bd05n.wav     M                0.813
  22       bd08n.wav     M                0.750
  23       bd03n.wav     Z                0.766
  24       bd08n.wav     M                0.859
  25       bd08n.wav     M                0.797
  26       bd02n.wav     Z                0.766
  27       bd06n.wav     M                0.907
  28       bd03n.wav     Z                0.781
  29       bd05n.wav     M                1.359
  30       bd05n.wav     M                0.875
  31       bd04n.wav     Z                1.110
  32       bd07n.wav     M                0.906
  33       bd02n.wav     Z                0.797
  34       bd04n.wav     Z                1.563
  35       bd05n.wav     M                1.172
  36       bd05n.wav     M                1.313
  37       bd03n.wav     Z                0.797
  38       bd09n.wav     M                0.735
  39       bd09n.wav     M                0.860
  40       bd04n.wav     Z                0.828
  41       bd07n.wav     M                0.875
  42       bd05n.wav     M                1.156
  43       bd09n.wav     M                0.797
  44       bd04n.wav     Z                1.359
  45       bd03n.wav     Z                0.875
  46       bd06n.wav     M                0.985
  47       bd06n.wav     M                0.859
  48       bd04n.wav     Z                0.969
  49       bd01n.wav     Z                0.860
  50       bd02n.wav     Z                0.844
  51       bd01n.wav     Z                0.843
  52       bd06n.wav     M                1.063
  53       bd04n.wav     Z                0.860
  54       bd07n.wav     M                0.844
  55       bd03n.wav     Z                0.735
  56       bd06n.wav     M                0.703
  57       bd01n.wav     Z                0.765
  58       bd03n.wav     Z                0.875
  59       bd06n.wav     M                0.985
  60       bd02n.wav     Z                0.844
  61       bd03n.wav     Z                0.875
  62       bd05n.wav     M                1.063
  63       bd03n.wav     Z                0.828
  64       bd04n.wav     Z                0.969
  65       bd09n.wav     M                0.844
  66       bd04n.wav     Z                0.797
  67       bd05n.wav     M                1.250
  68       bd02n.wav     Z                0.781
  69       bd07n.wav     M                0.828
  70       bd05n.wav     M                1.171
  71       bd02n.wav     Z                0.782
  72       bd07n.wav     M                0.860
  73       bd07n.wav     M                0.844
  74       bd01n.wav     Z                0.750
  75       bd07n.wav     M                0.921
  76       bd04n.wav     Z                0.860
  77       bd03n.wav     Z                1.297
  78       bd07n.wav     M                0.844
  79       bd04n.wav     Z                1.250
  80       bd03n.wav     Z                0.781
  81       bd09n.wav     M                0.781
  82       bd05n.wav     Z                1.250
  83       bd04n.wav     Z                0.844
  84       bd08n.wav     M                0.797
  85       bd03n.wav     Z                0.860
  86       bd05n.wav     Z                0.969
  87       bd09n.wav     M                0.703
  88       bd07n.wav     M                0.797
  89       bd05n.wav     Z                0.813
  90       bd08n.wav     M                0.703
  91       bd03n.wav     Z                0.735
  92       bd06n.wav     M                0.640
  93       bd08n.wav     M                0.703
  94       bd01n.wav     Z                0.703
  95       bd06n.wav     M                1.282
  96       bd06n.wav     M                0.766
  97       bd04n.wav     Z                0.813
  98       bd04n.wav     Z                1.297
  99       bd06n.wav     M                0.781
 100       bd05n.wav     M                1.032
 101       bd06n.wav     M                1.110
 102       bd02n.wav     Z                0.703
 103       bd08n.wav     M                0.703
 104       bd07n.wav     M                0.765
