! Datafile from PARAM Created at : dinsdag 27, apr, 2004
!---------------------------------------------------------------
!Trial       Movie   Response             Time    
!---------------------------------------------------------------
   1        bd01.wav     Z                2.312
   2        bd09.wav     M                1.422
   3        bd01.wav     Z                1.297
   4        bd09.wav     M                1.422
   5        bd01.wav     Z                1.343
   6        bd09.wav     M                1.188
   7        bd06.wav     M                1.531
   8        bd03.wav     Z                1.406
   9        bd02.wav     Z                1.312
  10        bd03.wav     Z                1.281
  11        bd07.wav     M                1.172
  12        bd08.wav     M                1.250
  13        bd06.wav     M                1.203
  14        bd01.wav     Z                1.141
  15        bd06.wav     M                1.031
  16        bd07.wav     M                1.094
  17        bd05.wav     M                1.031
  18        bd04.wav     M                0.985
  19        bd07.wav     M                0.953
  20        bd07.wav     M                1.125
  21        bd05.wav     M                1.125
  22        bd08.wav     M                1.110
  23        bd03.wav     Z                1.375
  24        bd08.wav     M                1.172
  25        bd08.wav     M                1.172
  26        bd02.wav     Z                1.110
  27        bd06.wav     M                1.078
  28        bd03.wav     Z                1.156
  29        bd05.wav     Z                3.015
  30        bd05.wav     M                1.125
  31        bd04.wav     M                1.250
  32        bd07.wav     M                1.156
  33        bd02.wav     Z                1.343
  34        bd04.wav     #                0.000
  35        bd05.wav     #                0.000
  36        bd05.wav     M                2.313
  37        bd03.wav     M                1.750
  38        bd09.wav     M                1.485
  39        bd09.wav     M                1.156
  40        bd04.wav     M                2.641
  41        bd07.wav     M                1.656
  42        bd05.wav     Z                1.953
  43        bd09.wav     M                2.765
  44        bd04.wav     M                1.531
  45        bd03.wav     Z                1.656
  46        bd06.wav     #                0.000
  47        bd06.wav     M                1.265
  48        bd04.wav     #                0.000
  49        bd01.wav     Z                1.359
  50        bd02.wav     Z                1.297
  51        bd01.wav     Z                1.328
  52        bd06.wav     #                0.000
  53        bd04.wav     M                1.672
  54        bd07.wav     M                1.594
  55        bd03.wav     Z                1.265
  56        bd06.wav     #                0.000
  57        bd01.wav     Z                1.281
  58        bd03.wav     Z                1.110
  59        bd06.wav     M                1.515
  60        bd02.wav     Z                1.156
  61        bd03.wav     Z                1.265
  62        bd05.wav     Z                1.485
  63        bd03.wav     Z                1.468
  64        bd04.wav     Z                1.266
  65        bd09.wav     M                1.218
  66        bd04.wav     Z                1.547
  67        bd05.wav     Z                1.718
  68        bd02.wav     Z                1.391
  69        bd07.wav     M                1.234
  70        bd05.wav     M                1.610
  71        bd02.wav     #                0.000
  72        bd07.wav     M                1.172
  73        bd07.wav     M                0.953
  74        bd01.wav     Z                1.172
  75        bd07.wav     M                0.875
  76        bd04.wav     Z                1.750
  77        bd03.wav     Z                1.312
  78        bd07.wav     M                1.110
  79        bd04.wav     Z                1.375
  80        bd03.wav     Z                1.188
  81        bd09.wav     M                0.906
  82        bd05.wav     Z                2.203
  83        bd04.wav     Z                1.078
  84        bd08.wav     M                1.156
  85        bd03.wav     Z                1.078
  86        bd05.wav     #                0.000
  87        bd09.wav     M                1.031
  88        bd07.wav     M                0.860
  89        bd05.wav     #                0.000
  90        bd08.wav     M                0.906
  91        bd03.wav     Z                1.797
  92        bd06.wav     M                0.703
  93        bd08.wav     M                1.015
  94        bd01.wav     Z                0.985
  95        bd06.wav     M                0.703
  96        bd06.wav     M                1.047
  97        bd04.wav     Z                0.750
  98        bd04.wav     Z                0.781
  99        bd06.wav     M                0.890
 100        bd05.wav     Z                1.094
 101        bd06.wav     M                0.703
 102        bd02.wav     Z                0.735
 103        bd08.wav     M                0.718
 104        bd07.wav     M                1.156
