! Datafile from PARAM Created at : woensdag 28, apr, 2004
!---------------------------------------------------------------
!Trial       Movie   Response             Time    
!---------------------------------------------------------------
   1        bd01.wav     Z                0.968
   2        bd09.wav     M                0.891
   3        bd01.wav     Z                0.875
   4        bd09.wav     M                0.844
   5        bd01.wav     Z                0.844
   6        bd09.wav     M                0.766
   7        bd06.wav     Z                0.844
   8        bd03.wav     Z                0.781
   9        bd02.wav     Z                0.812
  10        bd03.wav     Z                0.890
  11        bd07.wav     M                0.750
  12        bd08.wav     M                0.703
  13        bd06.wav     Z                1.032
  14        bd01.wav     Z                0.797
  15        bd06.wav     M                0.734
  16        bd07.wav     M                0.718
  17        bd05.wav     Z                1.015
  18        bd04.wav     Z                0.938
  19        bd07.wav     M                0.719
  20        bd07.wav     M                0.750
  21        bd05.wav     Z                1.062
  22        bd08.wav     M                0.781
  23        bd03.wav     Z                0.766
  24        bd08.wav     M                0.875
  25        bd08.wav     M                0.766
  26        bd02.wav     Z                0.859
  27        bd06.wav     Z                0.984
  28        bd03.wav     Z                0.984
  29        bd05.wav     Z                0.796
  30        bd05.wav     Z                1.063
  31        bd04.wav     Z                1.282
  32        bd07.wav     M                0.781
  33        bd02.wav     Z                0.859
  34        bd04.wav     Z                1.093
  35        bd05.wav     Z                1.063
  36        bd05.wav     Z                0.891
  37        bd03.wav     Z                0.829
  38        bd09.wav     M                0.703
  39        bd09.wav     M                0.734
  40        bd04.wav     Z                1.156
  41        bd07.wav     M                0.796
  42        bd05.wav     Z                1.688
  43        bd09.wav     M                0.735
  44        bd04.wav     Z                0.719
  45        bd03.wav     Z                0.953
  46        bd06.wav     Z                1.187
  47        bd06.wav     M                0.625
  48        bd04.wav     Z                1.016
  49        bd01.wav     Z                0.829
  50        bd02.wav     Z                0.875
  51        bd01.wav     Z                0.906
  52        bd06.wav     Z                1.109
  53        bd04.wav     Z                0.703
  54        bd07.wav     M                0.735
  55        bd03.wav     Z                0.891
  56        bd06.wav     M                0.656
  57        bd01.wav     M                1.156
  58        bd03.wav     Z                0.859
  59        bd06.wav     M                0.704
  60        bd02.wav     Z                1.016
  61        bd03.wav     Z                1.079
  62        bd05.wav     M                0.828
  63        bd03.wav     Z                1.156
  64        bd04.wav     Z                0.875
  65        bd09.wav     M                0.750
  66        bd04.wav     Z                0.844
  67        bd05.wav     Z                1.047
  68        bd02.wav     Z                1.063
  69        bd07.wav     M                0.703
  70        bd05.wav     M                1.312
  71        bd02.wav     Z                0.843
  72        bd07.wav     M                0.750
  73        bd07.wav     M                0.922
  74        bd01.wav     Z                0.718
  75        bd07.wav     M                0.907
  76        bd04.wav     M                0.828
  77        bd03.wav     Z                1.281
  78        bd07.wav     M                0.859
  79        bd04.wav     Z                0.953
  80        bd03.wav     Z                0.860
  81        bd09.wav     M                0.766
  82        bd05.wav     Z                1.094
  83        bd04.wav     Z                0.859
  84        bd08.wav     M                0.859
  85        bd03.wav     Z                1.047
  86        bd05.wav     Z                1.015
  87        bd09.wav     M                0.969
  88        bd07.wav     M                0.891
  89        bd05.wav     M                0.719
  90        bd08.wav     M                1.109
  91        bd03.wav     Z                1.484
  92        bd06.wav     M                1.063
  93        bd08.wav     M                1.203
  94        bd01.wav     Z                0.859
  95        bd06.wav     M                1.593
  96        bd06.wav     M                0.750
  97        bd04.wav     Z                1.000
  98        bd04.wav     Z                0.843
  99        bd06.wav     M                0.782
 100        bd05.wav     M                0.750
 101        bd06.wav     M                0.766
 102        bd02.wav     Z                0.891
 103        bd08.wav     M                0.875
 104        bd07.wav     M                0.719
