! Datafile from PARAM Created at : dinsdag 27, apr, 2004
!---------------------------------------------------------------
!Trial       Movie   Response             Time    
!---------------------------------------------------------------
   1        bd01.wav     Z                2.625
   2        bd09.wav     M                0.859
   3        bd01.wav     Z                1.141
   4        bd09.wav     M                0.875
   5        bd01.wav     Z                0.937
   6        bd09.wav     M                0.797
   7        bd06.wav     M                0.937
   8        bd03.wav     M                1.110
   9        bd02.wav     Z                0.953
  10        bd03.wav     Z                0.891
  11        bd07.wav     M                0.984
  12        bd08.wav     M                0.735
  13        bd06.wav     M                0.750
  14        bd01.wav     Z                0.719
  15        bd06.wav     M                0.797
  16        bd07.wav     M                0.875
  17        bd05.wav     M                0.859
  18        bd04.wav     M                0.907
  19        bd07.wav     M                0.859
  20        bd07.wav     M                1.000
  21        bd05.wav     M                0.844
  22        bd08.wav     M                0.875
  23        bd03.wav     M                1.016
  24        bd08.wav     M                0.922
  25        bd08.wav     M                0.953
  26        bd02.wav     M                1.407
  27        bd06.wav     M                0.781
  28        bd03.wav     M                1.032
  29        bd05.wav     M                0.922
  30        bd05.wav     M                0.875
  31        bd04.wav     M                0.797
  32        bd07.wav     M                0.954
  33        bd02.wav     Z                0.953
  34        bd04.wav     M                1.047
  35        bd05.wav     M                0.766
  36        bd05.wav     M                0.891
  37        bd03.wav     M                1.187
  38        bd09.wav     M                0.907
  39        bd09.wav     M                0.906
  40        bd04.wav     M                1.000
  41        bd07.wav     M                0.875
  42        bd05.wav     M                0.766
  43        bd09.wav     M                0.781
  44        bd04.wav     M                0.954
  45        bd03.wav     Z                1.719
  46        bd06.wav     M                0.985
  47        bd06.wav     M                0.984
  48        bd04.wav     M                1.016
  49        bd01.wav     Z                0.781
  50        bd02.wav     Z                0.782
  51        bd01.wav     Z                0.766
  52        bd06.wav     M                0.938
  53        bd04.wav     M                0.891
  54        bd07.wav     M                0.922
  55        bd03.wav     Z                0.750
  56        bd06.wav     M                0.891
  57        bd01.wav     Z                0.797
  58        bd03.wav     Z                0.797
  59        bd06.wav     M                0.750
  60        bd02.wav     Z                0.797
  61        bd03.wav     Z                1.047
  62        bd05.wav     M                1.032
  63        bd03.wav     Z                0.703
  64        bd04.wav     M                0.938
  65        bd09.wav     M                0.844
  66        bd04.wav     M                1.047
  67        bd05.wav     M                0.906
  68        bd02.wav     Z                0.813
  69        bd07.wav     M                0.844
  70        bd05.wav     M                0.735
  71        bd02.wav     Z                0.844
  72        bd07.wav     M                0.766
  73        bd07.wav     M                0.781
  74        bd01.wav     Z                0.735
  75        bd07.wav     M                0.703
  76        bd04.wav     M                0.907
  77        bd03.wav     Z                0.734
  78        bd07.wav     M                0.782
  79        bd04.wav     M                1.281
  80        bd03.wav     Z                0.813
  81        bd09.wav     M                0.859
  82        bd05.wav     M                0.813
  83        bd04.wav     M                1.078
  84        bd08.wav     M                0.860
  85        bd03.wav     Z                0.844
  86        bd05.wav     M                1.063
  87        bd09.wav     M                0.859
  88        bd07.wav     M                0.813
  89        bd05.wav     M                0.906
  90        bd08.wav     M                0.782
  91        bd03.wav     Z                0.969
  92        bd06.wav     M                0.969
  93        bd08.wav     M                0.984
  94        bd01.wav     Z                0.829
  95        bd06.wav     M                1.016
  96        bd06.wav     M                0.813
  97        bd04.wav     M                0.828
  98        bd04.wav     M                0.829
  99        bd06.wav     M                0.828
 100        bd05.wav     M                0.891
 101        bd06.wav     M                0.656
 102        bd02.wav     M                0.797
 103        bd08.wav     M                0.844
 104        bd07.wav     M                0.829
