! Datafile from PARAM Created at : donderdag 29, apr, 2004
!---------------------------------------------------------------
!Trial       Movie   Response             Time    
!---------------------------------------------------------------
   1       bd05n.wav     Z                0.844
   2       bd06n.wav     M                0.782
   3       bd06n.wav     Z                1.000
   4       bd05n.wav     Z                0.735
   5       bd07n.wav     M                1.203
   6       bd07n.wav     M                0.828
   7       bd05n.wav     Z                0.750
   8       bd06n.wav     M                1.265
   9       bd07n.wav     M                0.797
  10       bd06n.wav     M                0.796
  11       bd05n.wav     Z                0.969
  12       bd07n.wav     M                0.812
  13       bd07n.wav     M                0.765
  14       bd05n.wav     Z                0.782
  15       bd06n.wav     Z                1.219
  16       bd07n.wav     M                0.750
  17       bd06n.wav     Z                1.235
  18       bd05n.wav     Z                0.875
  19       bd07n.wav     M                1.000
  20       bd07n.wav     M                1.906
  21       bd05n.wav     Z                1.015
  22       bd06n.wav     M                0.843
  23       bd06n.wav     Z                1.156
  24       bd05n.wav     Z                0.797
  25       bd05n.wav     Z                0.797
  26       bd06n.wav     M                1.172
  27       bd06n.wav     M                1.234
  28       bd05n.wav     Z                0.735
  29       bd07n.wav     M                0.828
  30       bd07n.wav     Z                1.313
  31       bd05n.wav     Z                0.859
  32       bd06n.wav     Z                0.906
  33       bd07n.wav     M                0.937
  34       bd06n.wav     Z                1.218
  35       bd05n.wav     Z                1.016
  36       bd07n.wav     Z                1.562
  37       bd07n.wav     M                0.781
  38       bd05n.wav     Z                0.953
  39       bd06n.wav     Z                0.859
  40       bd07n.wav     Z                0.985
  41       bd05n.wav     Z                0.703
  42       bd07n.wav     Z                0.766
  43       bd07n.wav     M                1.016
  44       bd06n.wav     Z                0.890
  45       bd05n.wav     Z                0.937
  46       bd06n.wav     Z                1.125
  47       bd06n.wav     Z                0.813
  48       bd05n.wav     Z                0.844
  49       bd07n.wav     M                0.750
  50       bd05n.wav     Z                0.797
  51       bd06n.wav     Z                1.312
  52       bd06n.wav     Z                0.766
  53       bd05n.wav     Z                0.828
  54       bd07n.wav     M                0.938
  55       bd07n.wav     Z                0.859
  56       bd05n.wav     Z                0.906
  57       bd07n.wav     M                0.906
  58       bd06n.wav     Z                0.875
  59       bd06n.wav     Z                0.844
  60       bd05n.wav     Z                1.000
