! Datafile from PARAM Created at : maandag 3, mei, 2004
!---------------------------------------------------------------
!Trial       Movie   Response             Time    
!---------------------------------------------------------------
   1       bd05n.wav     Z                1.313
   2       bd06n.wav     M                1.141
   3       bd06n.wav     M                1.391
   4       bd05n.wav     M                1.203
   5       bd04n.wav     Z                1.047
   6       bd04n.wav     Z                0.859
   7       bd05n.wav     M                1.453
   8       bd06n.wav     M                1.766
   9       bd04n.wav     Z                1.141
  10       bd06n.wav     M                1.500
  11       bd05n.wav     M                1.422
  12       bd04n.wav     Z                1.594
  13       bd04n.wav     M                1.860
  14       bd05n.wav     M                2.063
  15       bd06n.wav     M                1.359
  16       bd04n.wav     Z                0.828
  17       bd06n.wav     M                1.422
  18       bd05n.wav     M                1.422
  19       bd04n.wav     M                1.718
  20       bd04n.wav     M                1.000
  21       bd05n.wav     M                0.875
  22       bd06n.wav     M                0.906
  23       bd06n.wav     M                1.172
  24       bd05n.wav     Z                0.937
  25       bd05n.wav     Z                1.235
  26       bd06n.wav     Z                2.313
  27       bd06n.wav     M                1.453
  28       bd05n.wav     Z                1.109
  29       bd04n.wav     M                1.406
  30       bd04n.wav     M                1.953
  31       bd05n.wav     Z                1.000
  32       bd06n.wav     M                0.875
  33       bd04n.wav     Z                1.172
  34       bd06n.wav     M                0.875
  35       bd05n.wav     M                1.078
  36       bd04n.wav     Z                0.969
  37       bd04n.wav     Z                0.984
  38       bd05n.wav     Z                1.203
  39       bd06n.wav     Z                0.968
  40       bd04n.wav     Z                1.937
  41       bd05n.wav     M                2.094
  42       bd04n.wav     Z                1.250
  43       bd04n.wav     M                2.250
  44       bd06n.wav     M                1.734
  45       bd05n.wav     Z                1.281
  46       bd06n.wav     M                1.438
  47       bd06n.wav     M                1.750
  48       bd05n.wav     M                1.688
  49       bd04n.wav     Z                1.344
  50       bd05n.wav     M                1.375
  51       bd06n.wav     M                1.375
  52       bd06n.wav     M                1.406
  53       bd05n.wav     M                1.454
  54       bd04n.wav     M                1.297
  55       bd04n.wav     Z                1.172
  56       bd05n.wav     M                1.187
  57       bd04n.wav     M                1.406
  58       bd06n.wav     M                1.203
  59       bd06n.wav     M                1.094
  60       bd05n.wav     Z                1.094
